,articleNo,tradeTypeName,floorInfo,dealOrWarrantPrc,direction,buildingName,latitude,longitude,realtorName,articleName,총 주차대수,난방,주소(도로),주소(지번),층 수,용적률,건폐율,평형대,건설사,관리사무소,경도,위도,0.공급/전용,0.방수/욕실수,0.해당면적 세대수,0.현관구조,1.공급/전용,1.방수/욕실수,1.해당면적 세대수,1.현관구조,2.공급/전용,2.방수/욕실수,2.해당면적 세대수,2.현관구조,3.공급/전용,3.방수/욕실수,3.해당면적 세대수,3.현관구조,4.공급/전용,4.방수/욕실수,4.해당면적 세대수,4.현관구조,5.공급/전용,5.방수/욕실수,5.해당면적 세대수,5.현관구조,6.공급/전용,6.방수/욕실수,6.해당면적 세대수,6.현관구조,7.공급/전용,7.방수/욕실수,7.해당면적 세대수,7.현관구조,8.공급/전용,8.방수/욕실수,8.해당면적 세대수,8.현관구조,9.공급/전용,9.방수/욕실수,9.해당면적 세대수,9.현관구조,10.공급/전용,10.방수/욕실수,10.해당면적 세대수,10.현관구조,11.공급/전용,11.방수/욕실수,11.해당면적 세대수,11.현관구조,12.공급/전용,12.방수/욕실수,12.해당면적 세대수,12.현관구조,13.공급/전용,13.방수/욕실수,13.해당면적 세대수,13.현관구조,14.공급/전용,14.방수/욕실수,14.해당면적 세대수,14.현관구조,15.공급/전용,15.방수/욕실수,15.해당면적 세대수,15.현관구조,16.공급/전용,16.방수/욕실수,16.해당면적 세대수,16.현관구조,17.공급/전용,17.방수/욕실수,17.해당면적 세대수,17.현관구조,18.공급/전용,18.방수/욕실수,18.해당면적 세대수,18.현관구조,19.공급/전용,19.방수/욕실수,19.해당면적 세대수,19.현관구조,20.공급/전용,20.방수/욕실수,20.해당면적 세대수,20.현관구조,21.공급/전용,21.방수/욕실수,21.해당면적 세대수,21.현관구조,22.공급/전용,22.방수/욕실수,22.해당면적 세대수,22.현관구조,23.공급/전용,23.방수/욕실수,23.해당면적 세대수,23.현관구조,24.공급/전용,24.방수/욕실수,24.해당면적 세대수,24.현관구조,25.공급/전용,25.방수/욕실수,25.해당면적 세대수,25.현관구조,26.공급/전용,26.방수/욕실수,26.해당면적 세대수,26.현관구조,27.공급/전용,27.방수/욕실수,27.해당면적 세대수,27.현관구조,28.공급/전용,28.방수/욕실수,28.해당면적 세대수,28.현관구조,29.공급/전용,29.방수/욕실수,29.해당면적 세대수,29.현관구조,30.공급/전용,30.방수/욕실수,30.해당면적 세대수,30.현관구조,31.공급/전용,31.방수/욕실수,31.해당면적 세대수,31.현관구조,32.공급/전용,32.방수/욕실수,32.해당면적 세대수,32.현관구조,33.공급/전용,33.방수/욕실수,33.해당면적 세대수,33.현관구조,34.공급/전용,34.방수/욕실수,34.해당면적 세대수,34.현관구조,35.공급/전용,35.방수/욕실수,35.해당면적 세대수,35.현관구조,36.공급/전용,36.방수/욕실수,36.해당면적 세대수,36.현관구조,37.공급/전용,37.방수/욕실수,37.해당면적 세대수,37.현관구조,38.공급/전용,38.방수/욕실수,38.해당면적 세대수,38.현관구조,39.공급/전용,39.방수/욕실수,39.해당면적 세대수,39.현관구조,40.공급/전용,40.방수/욕실수,40.해당면적 세대수,40.현관구조,41.공급/전용,41.방수/욕실수,41.해당면적 세대수,41.현관구조,42.공급/전용,42.방수/욕실수,42.해당면적 세대수,42.현관구조,43.공급/전용,43.방수/욕실수,43.해당면적 세대수,43.현관구조,44.공급/전용,44.방수/욕실수,44.해당면적 세대수,44.현관구조,45.공급/전용,45.방수/욕실수,45.해당면적 세대수,45.현관구조,46.공급/전용,46.방수/욕실수,46.해당면적 세대수,46.현관구조,47.공급/전용,47.방수/욕실수,47.해당면적 세대수,47.현관구조,48.공급/전용,48.방수/욕실수,48.해당면적 세대수,48.현관구조,49.공급/전용,49.방수/욕실수,49.해당면적 세대수,49.현관구조,50.공급/전용,50.방수/욕실수,50.해당면적 세대수,50.현관구조,51.공급/전용,51.방수/욕실수,51.해당면적 세대수,51.현관구조,52.공급/전용,52.방수/욕실수,52.해당면적 세대수,52.현관구조,53.공급/전용,53.방수/욕실수,53.해당면적 세대수,53.현관구조,54.공급/전용,54.방수/욕실수,54.해당면적 세대수,54.현관구조,55.공급/전용,55.방수/욕실수,55.해당면적 세대수,55.현관구조,56.공급/전용,56.방수/욕실수,56.해당면적 세대수,56.현관구조,57.공급/전용,57.방수/욕실수,57.해당면적 세대수,57.현관구조,58.공급/전용,58.방수/욕실수,58.해당면적 세대수,58.현관구조,59.공급/전용,59.방수/욕실수,59.해당면적 세대수,59.현관구조,60.공급/전용,60.방수/욕실수,60.해당면적 세대수,60.현관구조
0,2436879413,매매,12/18,"5억 8,000",남향,1010동,36.513465,127.227416,효자부동산공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2436861970,매매,16/16,"4억 2,000",남동향,1013동,36.512943,127.228884,효자부동산공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2436922156,매매,13/17,"3억 8,000",남서향,1011동,36.513578,127.226745,잘되는공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2436826227,매매,5/15,"7억 8,000",남향,1012동,36.513564,127.225986,미스터홈즈부동산중개세종센터,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2436624914,매매,11/17,"4억 5,000",남향,1008동,36.513466,127.228867,세종신동아공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2436584874,매매,1/16,"3억 8,000",남서향,1013동,36.512943,127.228884,세종현대부동산공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2436560849,매매,6/15,4억,남동향,1012동,36.513564,127.225986,세종둥지공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2436493975,매매,14/15,"4억 2,000",남동향,1014동,36.512892,127.227991,세종마당공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2436411773,매매,14/15,"4억 2,000",남서향,1014동,36.512892,127.227991,세종무지개부동산공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2436410210,매매,14/15,"4억 2,000",남서향,1014동,36.512892,127.227991,세종고수공인중개사사무소,가락10단지이지더원,1303대(세대당 1.44),"HT005, HF002",세종시 세종시 마음로 181,세종시 세종시 고운동 1400,8층/18층,146%,16%,"95B㎡, 95A㎡, 111㎡, 140",(주)라인건설,044-865-9978,127.227757,36.513918,95.49/72.49,3개/2개,192세대,계단식,95.49/72.49,3개/2개,129세대,계단식,111.37/84.98,4개/2개,297세대,계단식,140.41/107.69,3개/2개,282세대,계단식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
